"04900273";"2";"049";"00222";"0";"SAMCO MALABRIGO";"SAMCO MALABRIGO";"049";"00273";"1";"1";"01";"38";"2 de Julio Nº 864";NULL;"3572";"03482/454001, centrex: 6440";NULL;NULL;"IV";NULL;NULL;NULL;"04";"04";"Res. Nº 2221";"2009-09-29 00:00:00";"1";;"21.32.0530";"23";NULL;NULL;"1";"E";NULL;"Dr. Sponton, Ricardo J.";"Lopez, Adolfo Vicente";"Kees, Mery Nora";"Sponton, Stella Maris";NULL;NULL;NULL;NULL;NULL;"1944-07-28 00:00:00";NULL;"0";"0";NULL;"0";NULL;"031000";"031000";"031000";"04900222";"10820492184143";NULL;"04938";"2011-02-08 06:52:13";"S";NULL;"1"
"04900273";"2";"049";"00231";"Y";"CS NICANOR MOLINA";"NICANOR MOLINA  C S";"049";"00273";"1";"1";"01";"41";"N. E. Molinas 405 Km. 19";NULL;"3560";"03482-420026";NULL;NULL;"I";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dr. Vela, Mauricio";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0000-00-00 00:00:00";NULL;"0";"0";NULL;"1";NULL;"032250";"548000";"000000";"04900231";"50820492184822";NULL;"04941";"2011-02-21 12:55:37";"S";"oviganotti";"2"
"04900273";"2";"049";"00249";"Y";"CS PUERTO RECONQUISTA";"PUERTO RECONQUISTA  C S";"049";"00273";"1";"1";"01";"45";"Puerto";NULL;"3567";NULL;NULL;NULL;"II";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dr. Curi, Carlos";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1951-05-05 00:00:00";NULL;"0";"0";NULL;"1";NULL;"002009";"002009";"002009";"04900249";"50820492184909";NULL;"04945";"2011-02-21 12:57:33";"S";"oviganotti";"3"
"04900273";"2";"049";"00257";"Y";"CS BARRIO LA CORTADA";"CS B LA CORTADA";"049";"00273";"1";"1";"01";"47";"Calle Villa Guillermina";NULL;"3560";"03482-15678632";NULL;NULL;"I";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dra. Barreto A, Teresita";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1978-00-00 00:00:00";NULL;"0";"0";NULL;"0";NULL;"032600";"000000";"000000";"04900257";"50820492184530";NULL;"04947";"2011-07-04 08:51:42";"S";"polivera";"4"
"04900273";"1";"049";"00273";"0";"HOSP DRA OLGA STUCKY";"HOSP  DRA STUCKY";"049";"00273";"1";"1";"01";"47";"Hipólito Irigoyen 1580";NULL;"3560";"03482/420012/42-429017";NULL;"hospital_reconquista@arnet.com.ar";"VI";NULL;NULL;NULL;"02";"02";"Decreto Nº 940";"2010-06-09 00:00:00";"1";;"21.32.0528";"136";NULL;NULL;"1";"4";NULL;"Dr. Medina Raul";NULL;NULL;NULL;"Dr. Pagano, Julio Cesar";"Prez, Jorge Bernardo";"Cornali, Josefina";"Firman, Hugo";"López, Amaya";"1895-11-00 00:00:00";NULL;"1";"0";NULL;"0";NULL;"032000";"032000";"032000";"04900273";"10820492184081";NULL;"04947";"2011-06-17 09:30:49";"S";"oviganotti";"5"
"04900311";"2";"049";"00290";"Y";"CS DR JORGE CANIZA";"C S  DR  J  CANIZA";"049";"00311";"1";"1";"01";"50";"Calle Nº 5 al lado de la Comisaria";NULL;"3587";"03482/492311";NULL;NULL;"II";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dr. Destefani, Jorge";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1949-05-05 00:00:00";NULL;"0";"0";NULL;"1";NULL;"002003";"002003";"002003";"04900290";"50820492184651";NULL;"04950";"2011-02-25 07:15:26";"S";"oviganotti";"6"
"04900311";"2";"049";"00303";"0";"SAMCO DR BARTOLOME B PARMA";"HOSP  B  PARMA";"049";"00311";"1";"1";"01";"53";"25 de Mayo s/n";NULL;"3583";"03482/494033";NULL;NULL;"III";NULL;NULL;NULL;"04";"04";"Res. Nº 2848";"2009-12-16 00:00:00";"1";;"21.32.0563";"8";NULL;NULL;"1";"E";NULL;"Dra. Cordero, Sonia M.";"Ibarra, Jose Luis";"Acuña, Ramon Oscar";"Barberis, Alberto";NULL;NULL;NULL;NULL;NULL;"1958-02-11 00:00:00";NULL;"0";"0";NULL;"0";NULL;"157000";"157000";"157000";"04900303";"10820492184136";NULL;"04953";"2011-06-17 09:35:41";"S";"oviganotti";"7"
"04900311";"1";"049";"00311";"0";"SAMCO VILLA OCAMPO";"VILLA OCAMPO  HOSPITAL";"049";"00311";"1";"1";"01";"55";"Dr. Ferrán y Espora";NULL;"3580";"03482/466002-466002";NULL;NULL;"IV";NULL;NULL;NULL;"04";"04";"Res. Nº 1074";"2011-07-01 00:00:00";"1";;"21.32.0567";"55";NULL;NULL;"1";"E";NULL;"Dr. Catalani, Daniel";"Paduan, Enrique Luis";"Bulacio, Simon Segundo";"Zorzón, Meri Raquel";"-";"-";NULL;NULL;NULL;"1950-08-24 00:00:00";NULL;"1";"0";NULL;"0";NULL;"034000";"034000";"034000";"04900311";"10820492184148";NULL;"04955";"2011-07-04 07:38:47";"S";"oviganotti";"8"
"04900311";"2";"049";"00338";"Y";"CS SAN ANTONIO DE OBLIGADO";"SAN ANTONIO DE OBLIGADO  C S";"049";"00311";"1";"1";"01";"48";"Zona Urbana";NULL;"3587";"03482/492425";NULL;NULL;"II";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dra. Zoloaga, Silvia";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1964-07-15 00:00:00";NULL;"0";"0";NULL;"1";NULL;"002002";"002002";"002002";"04900338";"50820492184930";NULL;"04948";"2011-02-25 07:17:52";"S";"oviganotti";"9"
"04900311";"2";"049";"00346";"Y";"CS LA RESERVA";"LA RESERVA  C S";"049";"00311";"1";"1";"01";"28";"la reserva";NULL;"3582";NULL;NULL;NULL;"I";NULL;NULL;NULL;"03";"03";NULL;NULL;"0";;NULL;NULL;NULL;NULL;"0";"4";NULL;"Dra. Cordero, Sonia";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1964-11-20 00:00:00";NULL;"0";"0";NULL;"1";NULL;"034200";"543000";"000000";"04900346";"50820492184763";NULL;"04928";"2011-02-25 07:10:36";"S";"oviganotti";"10"
